ID RA DEC x y thresh flux flag
S40 9.994354182100489 41.72281609721865 1858.4981290890778 37.02310454132349 300.0 19634.392578125 1.0
S41 10.100183952701242 41.72265750965163 101.81495677888617 40.5505825440229 300.0 8297.966796875 0.0
S42 10.102494438844076 41.722538479256315 63.4613916759688 43.173451601509036 300.0 5516.087890625 0.0
S43 10.100826382114986 41.723176657601314 91.15711359881766 28.999458897266265 300.0 109753.171875 1.0
S44 10.10010233717712 41.72349253725178 103.17912245013542 21.982514799260592 300.0 6794.39501953125 1.0
S45 10.100100768450892 41.723261240524124 103.20255363756205 27.125984241452112 300.0 12749.236328125 1.0
S46 10.10154922031657 41.72265485586194 79.15261844124758 40.595500211063204 300.0 8845.15234375 1.0
S47 10.101424246323663 41.72247544996205 81.2249987254333 44.58633826362011 300.0 5722.720703125 1.0
S48 9.993890550339657 41.72252236024205 1866.1987506433231 43.55031642044625 300.0 13427.8837890625 0.0
S49 9.993388043057086 41.72253204700016 1874.5398123087214 43.329707659177984 300.0 11669.4013671875 0.0
S50 10.099665445035402 41.72249301976689 110.41991662646356 44.213680185971 300.0 7890.43994140625 0.0
S51 9.99001255923591 41.72239485178487 1930.5724896026618 46.34439133251816 300.0 4456.873046875 0.0
S52 9.99830063294404 41.7223475481424 1792.9975279963558 47.48124049072639 300.0 13568.3486328125 0.0
S53 9.996612832036098 41.722232055016974 1821.0155317931446 50.03329227333308 300.0 4691.9990234375 0.0
S54 10.103019592739262 41.72252825431121 54.74413425338503 43.39521506577737 300.0 31110.576171875 1.0
S55 10.103214846956595 41.72227539954536 51.50001562262662 49.0159639546801 300.0 6444.9814453125 1.0
S56 9.989157011079175 41.72222965345506 1944.7768015520987 50.008461965762166 300.0 7453.66650390625 0.0
S57 10.101854844283093 41.72213261781004 74.0733893945525 52.20554699193319 300.0 9317.21484375 0.0
S58 9.987781140055985 41.722132354476386 1967.6169894808431 52.156536232256535 300.0 7138.12255859375 0.0
S59 9.994737733721502 41.721939112045895 1852.1454681942757 56.52893477323864 300.0 5452.97900390625 1.0
S60 9.99370680329012 41.72197480397828 1869.2576667768492 55.724684747903815 300.0 36074.89453125 0.0
S61 10.103462110052362 41.72182250801124 47.390129708328416 59.08445372278673 300.0 13857.5126953125 0.0
S62 10.102710992697432 41.72173970176194 59.85722611996723 60.933931388885355 300.0 7404.32763671875 0.0
S63 9.985948512135039 41.72340649208444 1998.0141619352657 23.80158613632564 300.0 99323.0546875 1.0
S64 9.9855539271183 41.72424690493307 2004.5484981074635 5.108249388247455 300.0 167584.109375 3.0
S65 9.985086224244332 41.723738876378285 2012.3211370601293 16.399928232110433 300.0 55013.01953125 3.0
S66 9.985423344022811 41.7222686937656 2006.7522610907115 49.097099301259725 300.0 188380.984375 3.0
S67 10.102014298002045 41.7217270241818 71.42179492647317 61.223242689925115 300.0 13749.4443359375 1.0
S68 10.102438909649312 41.7220636376242 64.37749115883098 53.73331717704668 300.0 8222.6962890625 1.0
